name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url,length_clean,diet_clean,taxonomy_depth,site1,site2,site3,site4,era,time_range,start,end,weight_clean,meaning_clean,year_clean,herbivorous
Dubreuillosaurus,dub-rhe-oo-oh-sore-us,'(unknown)',large theropod,,,carnivorous,,,,"Late Jurassic, 169-164 million years ago",France,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae",Allain ,(2005) ,valesdunensis,"  Partial skull and partial skeletons of Dubreuillosaurus have been found, but not enough to work out its overall size, although we know it was a large dinosaur.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dubreuillosaurus.jpg,,carnivorous,5,France,,,,Late Jurassic,169-164 million years ago,169.0,164.0,,,2005.0,0.0
Eolambia,ee-oh-lam-bee-ah,'dawn lambeosaurine',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 99-94 million years ago",USA,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Kirkland ,(1998) ,caroljonesa,"  Eolambia is known from the skulls and postcrania of several individuals, both juveniles and adults.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eolambia.jpg,,herbivorous,9,USA,,,,Late Cretaceous,99-94 million years ago,99.0,94.0,,dawn lambeosaurine,1998.0,1.0
Equijubus,ee-kwee-joo-bus,'(unknown)',large ornithopod,,,herbivorous,,,,"Early Cretaceous, 127-99 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea","You, Luo, Shubin, Witmer, Tang and Tang ",(2003) ,normani,"  Known from skull and postcrania, Equijubus is thought to be the earliest duck-billed dinosaur (hadrosaur).",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Equijubus.jpg,,herbivorous,9,China,,,,Early Cretaceous,127-99 million years ago,127.0,99.0,,,2003.0,1.0
Graciliceratops,gras-i-li-serra-tops,'gracile horned face',ceratopsian,,,herbivorous,,,,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Sereno ,(2000) ,mongoliensis,"  A partial skull and skeleton of Graciliceratops have been found. This was a tiny dinosaur, it may have only been 80cm long.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Graciliceratops.jpg,,herbivorous,7,Mongolia,,,,Late Cretaceous,99-84 million years ago,99.0,84.0,,gracile horned face,2000.0,1.0
Isisaurus,iss-ee-sore-us,'ISI (Indian Statistical Institute) lizard',sauropod,,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",India,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Jain and Bandyopadhyay ,(1997) ,colberti,  This dinosaur is the one most similar to modern-day giraffes. Fungus has been found in its poo!,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg,,herbivorous,11,India,,,,Late Cretaceous,71-66 million years ago,71.0,66.0,,ISI (Indian Statistical Institute) lizard,1997.0,1.0
Jinzhousaurus,jeen-joh-sore-us,'Jinzhou lizard',large ornithopod,,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Wang and Xu ,(2001) ,yangi,  An almost complete skull and some postcranial remains of this dinosaur have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg,,herbivorous,9,China,,,,Early Cretaceous,127-121 million years ago,127.0,121.0,,Jinzhou lizard,2001.0,1.0
Lapparento-saurus,la-pah-rent-oh-sore-us,'Lapparent's lizard',sauropod,,,herbivorous,,,,"Mid Jurassic, 169-164 million years ago",Madagascar,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes",Bonaparte ,(1986) ,madagascariensis,"  Lapparentosaurus is known from partial skeletons lacking skulls, so reconstructions involve guesswork based on similar dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Lapparentosaurus.jpg,,herbivorous,9,Madagascar,,,,Mid Jurassic,169-164 million years ago,169.0,164.0,,Lapparent's lizard,1986.0,1.0
Liaoceratops,lyow-serra-tops,'Liaoning horned face',ceratopsian,,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia","Xu, Makovicky, Wang, Norell and You ",(2002) ,yanzigouensis,  Two almost complete Liaoceratops skulls have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Liaoceratops.jpg,,herbivorous,7,China,,,,Early Cretaceous,127-121 million years ago,127.0,121.0,,Liaoning horned face,2002.0,1.0
Nipponosaurus,nip-on-oh-sore-us,'Japanese lizard',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 89-84 million years ago",Russia,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Nagao ,(1936) ,sachalinensis,  Our knowledge of Nipponosaurus is based on a partial skull and postcranial of a juvenile.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nipponosaurus.jpg,,herbivorous,5,Russia,,,,Late Cretaceous,89-84 million years ago,89.0,84.0,,Japanese lizard,1936.0,1.0
Pyroraptor,PIE-ro-rap-tor,'fire thief',small theropod,,,carnivorous,"lots of sharp, pointed teeth",other animals,on 2 legs,"Late Cretaceous, 84-71 million years ago","France,
						
							Spain","Dinosauria, Saurischia, Theropoda, Dromaeosauridae",Allain and Taquet ,(2000) ,olympius," Pyroraptor Pyroraptor was a small, meat-eating dinosaur that lived in what is now France and Spain. It got its name, which means 'fire thief', because its remains were first found after a destructive forest fire in Provence, France. Pyroraptor This dinosa",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pyroraptor.jpg,,carnivorous,4,France,Spain,,,Late Cretaceous,84-71 million years ago,84.0,71.0,,fire thief,2000.0,0.0
Shamosaurus,shah-maw-sore-us,'desert lizard',armoured dinosaur,,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",Mongolia,"Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Tumanova ,(1983) ,scutatus,"  A skull and partial skeleton of Shamosaurus have been found, but not enough to estimate its full length.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shamosaurus.jpg,,herbivorous,5,Mongolia,,,,Early Cretaceous,121-99 million years ago,121.0,99.0,,desert lizard,1983.0,1.0
Tanius,tahn-ee-us,'[H. C.] Tan',large ornithopod,,,herbivorous,,,,"Late Cretaceous, 89-66 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Wiman ,(1929) ,sinensis,  Both skull and postcranial material has been found for this dinosaur.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tanius.jpg,,herbivorous,4,China,,,,Late Cretaceous,89-66 million years ago,89.0,66.0,,[H. C.] Tan,1929.0,1.0
