name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url,length_clean,diet_clean,taxonomy_depth,site1,site2,site3,site4,era,time_range,start,end,weight_clean,meaning_clean,year_clean,herbivorous,lifespan
Aardonyx,ar-don-ix,'Earth claw',prosauropod,8.0m,,herbivorous,,,,"Early Jurassic, 199-189 million years ago",South Africa,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria","Yates, Bonnan, Neveling, Chinsamy and Blackbeard ",2010 (2009) ,celestae," Aardonyx Aardonyx is known from two immature individuals. Adults would have been much larger, probably over 10m. Aardonyx Aardonyx would have been largely bipedal (walking on two legs) but also capable of walking on all four legs. This and its way of feed",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg,8.0,herbivorous,5,SouthAfrica,,,,early jurassic,199-189 million years ago,199.0,189.0,,Earth claw,2009.0,1.0,10.0
Abelisaurus,ah-BEEL-ee-sore-us,'Abel's lizard',large theropod,9.0m,,carnivorous,,,,"Late Cretaceous, 74-70 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae, Abelisaurinae",Bonaparte and Novas ,(1985) ,comahuensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg,9.0,carnivorous,7,Argentina,,,,late cretaceous,74-70 million years ago,74.0,70.0,,Abel's lizard,1985.0,0.0,4.0
Achelousaurus,ah-KEL-oo-SORE-us,'Achelous' lizard',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 83-70 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Sampson ,(1995) ,horneri,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg,6.0,herbivorous,10,USA,,,,late cretaceous,83-70 million years ago,83.0,70.0,,Achelous' lizard,1995.0,1.0,13.0
Achillobator,a-kil-oh-bah-tor,'Achilles hero',large theropod,5.0m,,carnivorous,,,,"Late Cretaceous, 99-84 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Perle, Norell and Clark ",(1999) ,giganteus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg,5.0,carnivorous,4,Mongolia,,,,late cretaceous,99-84 million years ago,99.0,84.0,,Achilles hero,1999.0,0.0,15.0
Acrocantho-saurus,ah-kroh-kan-tho-SORE-us,'high-spined lizard',large theropod,12.0m,,carnivorous,,,,"Early Cretaceous, 115-105 million years ago","Canada,
						
							USA","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae",Stovall and Langston ,(1950) ,atokensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg,12.0,carnivorous,4,Canada,USA,,,early cretaceous,115-105 million years ago,115.0,105.0,,high-spined lizard,1950.0,0.0,10.0
Aegyptosaurus,ee-JIP-toe-SORE-us,'Egyptian lizard',sauropod,15.0m,,herbivorous,,,,"Late Cretaceous, 98-93 million years ago",Egypt,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Stromer ,(1932) ,baharijensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg,15.0,herbivorous,10,Egypt,,,,late cretaceous,98-93 million years ago,98.0,93.0,,Egyptian lizard,1932.0,1.0,5.0
Afrovenator,aff-ROW-ven-ah-tor,'African hunter',large theropod,9.0m,,carnivorous,,,,"Early Cretaceous, 132-121 million years ago",Niger,"Dinosauria, Saurischia, Theropoda, Megalosauridae, Eustreptospondylinae","Sereno, Wilson, Larsson, Dutheil and Sues ",(1944) ,abakensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg,9.0,carnivorous,5,Niger,,,,early cretaceous,132-121 million years ago,132.0,121.0,,African hunter,1944.0,0.0,11.0
Agilisaurus,aj-i-li-sore-us,'agile lizard',small ornithischian,1.5m,,herbivorous,,,,"Late Jurassic, 169-159 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Peng ,(1990) ,louderbacki,  Agilisaurus is known from a skull and almost complete skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg,1.5,herbivorous,4,China,,,,late jurassic,169-159 million years ago,169.0,159.0,,agile lizard,1990.0,1.0,10.0
Alamosaurus,ah-la-mow-SORE-us,'Alamo lizard',sauropod,21.0m,,herbivorous,,,,"Late Cretaceous, 70-66 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Gilmore ,(1922) ,sanjuanensis,  This is the only Late Cretaceous sauropod that has been found in North America.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg,21.0,herbivorous,11,USA,,,,late cretaceous,70-66 million years ago,70.0,66.0,,Alamo lizard,1922.0,1.0,4.0
Albertaceratops,al-bert-a-serra-tops,'Alberta horned face',ceratopsian,7.0m,,herbivorous,,,,"Late Cretaceous, 80-75 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia",Ryan ,2007 ,nesmoi,"  This dinosaur is known from a single, well-preserved skull from Alberta and material from a bone bed in Montana, including almost the entire skeleton, found in August 2001. It has long brow horns, unlike other members of the centrosaurine subfamily.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg,7.0,herbivorous,2,Canada,USA,,,late cretaceous,80-75 million years ago,80.0,75.0,,Alberta horned face,2007.0,1.0,5.0
