from,to,distance
s_0,s_8,20
s_8,s_0,20
s_1,s_9,5
s_9,s_1,5
s_2,s_6,29
s_6,s_2,29
s_3,s_9,1
s_9,s_3,1
s_4,s_1,17
s_1,s_4,17
s_5,s_10,26
s_10,s_5,26
s_6,s_9,23
s_9,s_6,23
s_7,s_2,18
s_2,s_7,18
s_8,s_3,10
s_3,s_8,10
s_9,s_13,9
s_13,s_9,9
s_10,s_1,21
s_1,s_10,21
s_11,s_9,14
s_9,s_11,14
s_12,s_11,11
s_11,s_12,11
s_13,s_1,12
s_1,s_13,12
s_14,s_0,24
s_0,s_14,24
s_9,s_10,2
s_10,s_9,2
s_2,s_11,3
s_11,s_2,3
s_9,s_10,29
s_10,s_9,29
s_4,s_5,11
s_5,s_4,11
s_4,s_1,6
s_1,s_4,6
s_11,s_4,6
s_4,s_11,6
s_0,s_8,28
s_8,s_0,28
s_0,s_2,7
s_2,s_0,7
s_9,s_10,1
s_10,s_9,1
s_11,s_5,9
s_5,s_11,9
s_12,s_10,24
s_10,s_12,24
s_0,s_9,21
s_9,s_0,21
s_11,s_3,9
s_3,s_11,9
s_4,s_0,22
s_0,s_4,22
s_14,s_4,11
s_4,s_14,11
