student_id,section,marks
S001,D,15
S002,E,29
S003,C,24
S004,E,2
S005,E,24
S006,B,28
S007,C,17
S008,C,13
S009,C,17
S010,E,1
S011,D,21
S012,C,2
S013,F,15
S014,E,28
S015,B,8
S016,D,3
S017,F,0
S018,F,3
S019,B,0
S020,D,13
S021,E,20
S022,A,15
S023,D,19
S024,B,23
S025,F,7
S026,E,6
S027,D,2
S028,A,16
S029,A,0
S030,C,15
S031,C,11
S032,B,26
S033,D,18
S034,D,21
S035,F,22
S036,F,21
S037,F,13
S038,C,29
S039,D,5
S040,D,5
S041,A,12
S042,C,18
S043,E,21
S044,C,7
S045,E,26
S046,A,26
S047,B,1
S048,D,20
S049,A,29
S050,D,0
S051,F,27
S052,B,14
S053,B,0
S054,A,4
S055,B,27
S056,E,28
S057,B,15
S058,D,18
S059,D,3
S060,D,2
S061,D,16
S062,E,16
S063,C,11
S064,F,27
S065,A,29
S066,D,28
S067,B,13
S068,D,20
S069,B,5
S070,F,2
S071,F,27
S072,F,8
S073,B,4
S074,D,23
S075,F,28
S076,E,16
S077,B,13
S078,B,20
S079,D,30
S080,B,2
S081,B,27
S082,F,0
S083,D,19
S084,F,30
S085,F,28
S086,D,20
S087,A,22
S088,F,0
S089,E,2
S090,E,17
S091,B,24
S092,E,9
S093,B,30
S094,A,21
S095,D,25
S096,D,2
S097,D,7
S098,E,13
S099,A,23
S100,E,17
S101,E,14
S102,A,21
S103,A,22
S104,A,1
S105,A,30
S106,D,26
S107,C,9
S108,C,1
S109,A,25
S110,C,16
S111,C,7
S112,A,0
S113,C,8
S114,E,10
S115,B,21
S116,B,15
S117,A,6
S118,D,28
S119,A,9
S120,D,22
S121,B,25
S122,A,2
S123,F,17
S124,E,24
S125,C,23
S126,D,12
S127,F,27
S128,C,25
S129,C,6
S130,A,24
S131,C,3
S132,E,12
S133,F,19
S134,C,0
S135,A,7
S136,E,13
S137,B,15
S138,F,13
S139,C,11
S140,A,18
S141,B,22
S142,B,14
S143,D,27
S144,E,1
S145,C,1
S146,A,22
S147,D,30
S148,E,21
S149,D,18
S150,F,24
S151,E,25
S152,E,30
S153,C,29
S154,E,28
S155,D,21
S156,E,25
S157,C,25
S158,C,21
S159,F,16
S160,D,19
S161,B,9
S162,B,5
S163,E,14
S164,F,21
S165,A,10
S166,E,27
S167,F,4
S168,D,0
S169,D,7
S170,D,20
S171,D,27
S172,D,11
S173,F,11
S174,F,4
S175,C,6
S176,B,3
S177,D,5
S178,A,12
S179,F,19
S180,A,29
S181,A,14
S182,A,2
S183,C,22
S184,F,7
S185,A,19
S186,D,15
S187,E,12
S188,A,17
S189,C,27
S190,F,9
S191,C,29
S192,A,18
S193,F,16
S194,E,23
S195,A,30
S196,C,18
S197,B,27
S198,D,25
S199,C,22
S200,F,25
S201,A,4
S202,D,25
S203,A,20
S204,F,29
S205,A,22
S206,B,30
S207,D,8
S208,D,11
S209,F,20
S210,B,0
S211,C,25
S212,A,25
S213,E,0
S214,A,14
S215,A,1
S216,C,29
S217,A,21
S218,B,15
S219,B,24
S220,D,7
S221,F,12
S222,E,20
S223,A,0
S224,A,15
S225,C,28
S226,F,6
S227,B,30
S228,E,4
S229,D,21
S230,B,28
S231,F,22
S232,D,2
S233,C,11
S234,C,25
S235,A,15
S236,F,18
S237,E,4
S238,D,21
S239,B,24
S240,F,28
S241,F,13
S242,C,27
S243,A,4
S244,A,14
S245,D,16
S246,C,29
S247,F,13
S248,E,29
S249,C,19
S250,D,4
S251,D,11
S252,C,15
S253,D,25
S254,C,25
S255,B,15
S256,C,20
S257,C,6
S258,D,3
S259,D,0
S260,A,29
S261,A,29
S262,B,4
S263,A,22
S264,C,25
S265,D,9
S266,A,21
S267,A,4
S268,B,3
S269,F,1
S270,B,19
S271,C,30
S272,D,9
S273,B,25
S274,A,18
S275,D,25
S276,D,0
S277,A,23
S278,B,4
S279,A,12
S280,F,3
S281,D,15
S282,E,23
S283,E,15
S284,C,22
S285,A,1
S286,A,16
S287,C,27
S288,C,26
S289,C,19
S290,D,23
S291,F,11
S292,A,17
S293,D,2
S294,C,27
S295,A,0
S296,D,0
S297,F,28
S298,D,18
S299,F,10
S300,C,4
